@relation 'FEI-weka.filters.unsupervised.instance.imagefilter.ColorLayoutFilter-DE:\\Documents\\Information Technology\\Data Mining\\Face Recognition\\Database\\FEI Face-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V'

@attribute 'MPEG-7 Color Layout0' numeric
@attribute 'MPEG-7 Color Layout1' numeric
@attribute 'MPEG-7 Color Layout2' numeric
@attribute 'MPEG-7 Color Layout3' numeric
@attribute 'MPEG-7 Color Layout4' numeric
@attribute 'MPEG-7 Color Layout5' numeric
@attribute 'MPEG-7 Color Layout6' numeric
@attribute 'MPEG-7 Color Layout7' numeric
@attribute 'MPEG-7 Color Layout8' numeric
@attribute 'MPEG-7 Color Layout9' numeric
@attribute 'MPEG-7 Color Layout10' numeric
@attribute 'MPEG-7 Color Layout11' numeric
@attribute 'MPEG-7 Color Layout12' numeric
@attribute 'MPEG-7 Color Layout13' numeric
@attribute 'MPEG-7 Color Layout14' numeric
@attribute 'MPEG-7 Color Layout15' numeric
@attribute 'MPEG-7 Color Layout16' numeric
@attribute 'MPEG-7 Color Layout17' numeric
@attribute 'MPEG-7 Color Layout18' numeric
@attribute 'MPEG-7 Color Layout19' numeric
@attribute 'MPEG-7 Color Layout20' numeric
@attribute 'MPEG-7 Color Layout21' numeric
@attribute 'MPEG-7 Color Layout22' numeric
@attribute 'MPEG-7 Color Layout23' numeric
@attribute 'MPEG-7 Color Layout24' numeric
@attribute 'MPEG-7 Color Layout25' numeric
@attribute 'MPEG-7 Color Layout26' numeric
@attribute 'MPEG-7 Color Layout27' numeric
@attribute 'MPEG-7 Color Layout28' numeric
@attribute 'MPEG-7 Color Layout29' numeric
@attribute 'MPEG-7 Color Layout30' numeric
@attribute 'MPEG-7 Color Layout31' numeric
@attribute 'MPEG-7 Color Layout32' numeric
@attribute class {male,female}

@data
32,22,23,12,13,28,13,21,17,24,15,13,12,12,14,16,12,20,12,16,20,29,15,17,18,15,20,34,16,14,13,16,11,male
31,20,22,13,14,28,14,19,17,24,16,13,12,13,13,17,12,18,13,16,20,29,15,17,18,15,20,33,16,14,14,16,10,male
30,20,23,11,15,28,13,19,16,23,15,14,13,13,13,16,12,18,14,16,19,29,16,17,17,15,20,33,16,14,14,16,10,male
31,20,23,11,14,27,13,19,16,23,15,14,14,13,13,17,12,18,14,16,19,29,16,17,17,15,20,33,15,14,14,16,10,male
31,19,23,11,14,27,14,18,16,23,15,15,14,15,12,16,11,17,15,16,19,29,16,17,17,15,20,33,16,14,14,16,10,male
31,19,23,11,13,27,15,19,17,23,15,15,14,15,12,16,11,17,14,16,19,29,16,17,17,15,20,33,15,14,14,16,10,male
31,19,23,11,14,27,14,19,16,24,15,15,13,16,13,16,11,16,13,16,19,30,16,17,17,15,20,33,15,14,14,16,10,male
30,18,22,11,14,27,16,20,16,24,15,16,14,17,13,16,11,16,14,16,19,29,16,17,17,15,20,33,15,14,14,16,10,male
31,17,22,12,14,28,16,20,16,24,15,17,13,18,14,15,11,14,13,16,20,29,16,17,18,16,20,33,15,14,14,16,10,male
30,15,22,13,16,28,15,21,15,24,15,17,12,19,14,16,12,12,12,14,20,30,16,17,18,16,20,32,15,14,14,15,10,male
31,18,23,10,14,27,15,18,16,22,15,15,14,16,12,16,11,16,15,16,19,30,16,16,17,15,20,33,16,14,14,16,10,male
31,18,23,11,14,27,15,18,16,22,14,15,14,16,12,16,11,16,15,16,19,29,16,16,17,15,20,33,16,14,14,16,10,male
26,20,22,11,14,26,15,19,15,22,14,15,14,16,13,17,11,17,15,16,19,28,15,16,17,15,19,34,16,15,14,16,11,male
8,17,20,14,15,24,15,17,15,19,15,15,14,15,14,16,13,16,15,15,17,30,16,16,16,16,17,33,16,15,15,16,14,male
35,20,22,15,15,28,10,16,13,19,14,15,14,15,12,18,12,20,15,15,18,26,15,20,13,16,19,37,17,11,17,16,10,male
33,20,22,14,15,28,11,16,13,19,14,15,15,15,12,17,13,19,15,15,17,26,15,20,14,16,19,38,16,12,17,15,10,male
32,17,22,13,15,28,14,15,14,19,14,16,15,16,12,17,13,18,16,15,17,26,15,19,14,16,19,37,17,12,17,15,10,male
33,18,22,13,15,28,14,15,14,19,14,16,16,16,13,17,14,18,16,15,17,26,15,19,14,16,20,37,17,12,17,15,10,male
32,17,22,13,15,28,15,16,14,19,14,16,16,16,13,16,14,17,16,15,16,26,15,19,14,16,20,38,17,12,17,15,10,male
32,17,22,13,16,28,15,15,15,19,14,16,16,16,14,16,14,16,15,15,17,26,15,19,14,16,20,37,16,12,17,15,10,male
33,16,22,13,16,28,17,15,16,20,14,16,16,15,14,15,13,14,15,15,17,26,15,19,14,16,20,37,16,12,17,15,10,male
32,16,22,13,16,28,17,16,16,20,14,16,16,16,13,15,13,13,15,15,17,26,15,19,14,16,20,37,16,12,17,15,10,male
33,16,23,14,15,28,18,15,17,19,14,17,15,17,13,14,12,13,15,15,17,26,15,19,14,16,19,37,16,12,17,15,10,male
31,13,22,15,14,28,22,16,17,20,15,17,14,19,13,13,12,12,14,15,17,28,15,20,14,16,20,35,16,11,17,15,10,male
32,17,22,13,15,28,16,15,15,19,14,16,16,16,13,16,14,16,15,15,17,29,15,19,14,16,20,34,16,12,17,15,9,male
32,17,22,14,15,28,15,15,15,19,14,16,16,16,14,16,14,16,15,15,17,29,15,19,14,16,20,34,16,12,17,15,10,male
25,19,21,13,15,27,15,16,14,20,14,16,17,16,14,17,14,16,15,15,17,27,15,18,14,16,19,36,16,13,16,15,11,male
8,17,19,14,16,25,16,16,15,18,15,16,15,15,15,15,14,16,15,15,16,30,15,16,15,16,17,33,16,15,16,16,14,male
35,19,23,17,15,28,13,15,15,22,16,14,12,14,13,17,14,18,12,16,18,28,14,14,20,16,20,33,17,16,13,15,10,male
33,19,23,16,15,27,12,14,15,21,16,14,13,14,13,16,15,17,12,15,18,29,15,14,20,16,20,33,16,16,12,15,10,male
33,19,22,15,15,26,12,14,15,21,16,14,13,15,13,16,15,17,13,16,18,29,15,14,20,16,20,33,16,16,12,15,10,male
32,19,23,15,15,27,12,14,15,21,16,14,14,15,12,16,15,17,13,15,18,29,15,13,20,16,20,33,16,16,12,15,10,male
32,18,22,15,15,26,13,14,16,21,15,15,14,16,12,16,15,16,13,16,18,29,15,13,20,16,20,33,16,16,12,15,10,male
32,19,22,15,14,26,14,14,16,21,15,15,14,17,12,16,14,15,13,16,18,28,15,13,20,16,20,33,16,16,13,16,10,male
31,17,22,13,13,26,16,15,17,21,15,16,14,18,13,16,14,15,14,16,18,30,15,12,21,16,20,33,16,17,12,15,10,male
32,18,22,13,13,26,15,16,16,21,15,16,14,18,13,16,14,15,14,16,18,29,15,12,20,16,20,33,16,17,12,16,10,male
32,18,22,14,13,27,15,16,17,21,15,16,14,18,13,16,13,15,13,16,18,29,16,13,20,16,20,33,15,16,12,16,10,male
32,17,21,16,14,28,17,16,17,22,16,17,12,18,14,14,13,13,12,16,18,28,16,14,20,15,20,34,15,15,13,16,10,male
32,19,22,13,14,26,13,15,16,20,15,15,14,16,12,16,14,16,14,16,17,29,16,12,20,16,20,33,15,17,12,16,10,male
32,18,22,14,14,26,13,15,16,20,15,15,14,16,12,16,15,16,14,16,18,29,16,13,20,16,20,33,15,17,12,16,10,male
23,19,22,15,14,25,13,15,16,20,15,15,14,16,12,17,14,16,14,16,18,29,16,14,19,16,19,33,16,16,13,16,11,male
8,18,20,15,15,23,14,15,15,18,15,15,14,16,14,16,14,16,15,15,17,31,16,15,17,16,17,32,16,16,14,16,14,male
33,20,17,19,16,27,10,17,15,18,18,15,12,14,11,18,15,16,15,14,16,29,16,16,17,15,20,34,16,15,14,16,10,male
33,21,18,18,16,27,9,16,15,17,17,15,12,14,11,18,16,16,15,14,16,30,16,16,17,15,20,33,15,15,14,16,10,male
33,19,18,17,15,27,11,15,16,17,17,15,13,15,9,17,16,15,15,15,16,30,16,16,17,15,20,32,16,15,14,16,10,male
32,18,18,17,15,27,13,15,16,17,17,15,13,15,9,17,16,15,15,15,16,30,16,16,17,15,19,33,16,15,14,16,10,male
33,19,19,17,15,26,11,15,15,17,17,15,13,16,9,17,16,16,15,15,16,30,16,16,17,15,19,33,15,15,14,16,10,male
32,18,19,17,14,26,15,15,16,17,17,16,13,17,9,16,17,16,15,16,16,29,16,16,17,15,20,33,16,15,15,16,10,male
32,18,19,17,14,26,14,15,15,17,17,16,13,18,9,16,16,16,15,16,16,30,16,16,17,15,20,32,16,15,14,16,10,male
32,18,18,17,14,27,15,16,15,18,17,16,13,17,9,16,16,17,15,16,16,30,16,16,17,16,20,32,15,15,14,15,10,male
33,17,18,17,14,27,16,16,15,18,18,17,13,18,10,15,15,16,14,16,16,30,16,16,17,16,20,32,15,15,14,15,10,male
33,17,17,18,15,28,16,17,15,19,18,17,12,17,11,15,14,17,13,16,16,30,16,17,17,16,20,33,15,14,14,15,10,male
32,17,19,17,15,26,14,15,16,17,17,16,13,17,9,16,17,16,15,15,16,29,16,16,16,15,20,33,16,15,15,16,10,male
32,17,19,17,15,26,15,15,16,17,17,16,13,17,8,16,17,16,15,15,16,29,16,16,16,15,19,33,16,15,15,16,10,male
25,18,19,17,14,25,15,16,15,18,16,16,13,16,9,16,16,16,15,16,16,28,15,16,16,16,19,34,16,15,15,16,12,male
