@relation 'LFW-weka.filters.unsupervised.instance.imagefilter.ColorLayoutFilter-DE:\\Documents\\Information Technology\\Data Mining\\Face Recognition\\Database\\Labeled Faces in the Wild (LFW)-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V'

@attribute 'MPEG-7 Color Layout0' numeric
@attribute 'MPEG-7 Color Layout1' numeric
@attribute 'MPEG-7 Color Layout2' numeric
@attribute 'MPEG-7 Color Layout3' numeric
@attribute 'MPEG-7 Color Layout4' numeric
@attribute 'MPEG-7 Color Layout5' numeric
@attribute 'MPEG-7 Color Layout6' numeric
@attribute 'MPEG-7 Color Layout7' numeric
@attribute 'MPEG-7 Color Layout8' numeric
@attribute 'MPEG-7 Color Layout9' numeric
@attribute 'MPEG-7 Color Layout10' numeric
@attribute 'MPEG-7 Color Layout11' numeric
@attribute 'MPEG-7 Color Layout12' numeric
@attribute 'MPEG-7 Color Layout13' numeric
@attribute 'MPEG-7 Color Layout14' numeric
@attribute 'MPEG-7 Color Layout15' numeric
@attribute 'MPEG-7 Color Layout16' numeric
@attribute 'MPEG-7 Color Layout17' numeric
@attribute 'MPEG-7 Color Layout18' numeric
@attribute 'MPEG-7 Color Layout19' numeric
@attribute 'MPEG-7 Color Layout20' numeric
@attribute 'MPEG-7 Color Layout21' numeric
@attribute 'MPEG-7 Color Layout22' numeric
@attribute 'MPEG-7 Color Layout23' numeric
@attribute 'MPEG-7 Color Layout24' numeric
@attribute 'MPEG-7 Color Layout25' numeric
@attribute 'MPEG-7 Color Layout26' numeric
@attribute 'MPEG-7 Color Layout27' numeric
@attribute 'MPEG-7 Color Layout28' numeric
@attribute 'MPEG-7 Color Layout29' numeric
@attribute 'MPEG-7 Color Layout30' numeric
@attribute 'MPEG-7 Color Layout31' numeric
@attribute 'MPEG-7 Color Layout32' numeric
@attribute class {male,female}

@data
19,11,11,9,16,7,17,13,16,15,11,15,16,17,11,15,16,17,20,16,9,25,16,17,16,16,15,44,15,14,14,15,13,male
13,15,11,10,17,9,15,15,15,16,12,14,17,15,14,15,17,16,18,13,13,24,16,16,16,16,16,45,16,13,13,16,13,male
14,13,11,9,21,9,15,13,15,13,13,15,16,15,14,15,16,15,16,13,13,24,15,17,17,16,15,46,17,13,13,16,13,male
12,14,11,9,18,10,15,16,14,15,13,14,17,16,14,15,17,15,18,13,14,24,16,16,17,16,16,45,15,14,12,16,13,male
15,13,9,9,14,9,16,14,16,14,11,17,16,17,11,16,15,17,19,17,11,26,15,17,16,16,16,43,15,13,13,15,14,male
17,15,10,9,15,9,16,13,16,15,11,15,15,17,12,15,15,17,18,16,12,26,15,16,16,16,16,44,16,15,13,15,14,male
12,17,9,10,16,10,15,15,14,15,13,15,18,17,14,15,16,15,20,15,14,22,16,17,17,15,16,46,15,13,12,16,13,male
13,15,8,10,14,10,16,15,16,14,13,16,19,16,14,16,15,16,19,17,13,22,17,17,17,16,16,46,14,13,12,16,13,male
12,14,9,11,16,9,14,16,16,13,15,12,19,15,14,14,18,17,18,15,15,22,17,16,17,15,16,45,14,13,12,16,13,male
12,17,8,10,15,10,16,15,15,14,14,14,20,16,15,15,16,16,19,16,15,22,16,17,17,15,16,46,15,12,12,16,13,male
13,18,9,9,15,11,16,15,15,13,14,18,20,17,14,16,16,14,19,17,17,22,15,17,17,15,15,47,17,12,13,16,14,male
12,13,9,10,17,9,15,16,15,15,14,15,19,16,14,15,17,16,20,15,16,24,15,17,16,16,15,45,15,12,13,15,14,male
13,15,10,11,16,10,16,13,16,14,13,14,16,14,15,15,17,16,17,14,14,25,17,15,17,15,17,44,13,15,13,17,12,male
12,12,12,10,19,9,14,15,15,15,13,14,17,16,14,15,17,16,16,13,14,24,16,16,16,16,16,45,14,14,13,16,12,male
12,16,8,7,15,10,15,17,16,16,15,16,16,17,13,15,16,15,17,16,15,25,16,17,18,15,15,45,15,12,11,15,13,male
8,16,10,12,18,12,14,12,14,14,13,16,19,17,16,15,14,15,18,15,15,22,15,19,17,14,16,44,17,13,12,16,12,male
9,15,10,12,18,14,15,10,14,15,13,17,18,18,16,15,14,14,18,16,14,20,16,19,16,13,14,45,16,14,12,16,13,male
9,13,9,11,17,12,13,13,14,14,14,17,19,18,15,15,15,14,18,16,15,23,15,18,18,16,17,43,16,13,11,15,12,male
10,17,9,12,19,14,15,9,14,15,11,15,19,16,18,15,12,14,18,16,13,22,15,17,17,13,17,44,17,14,12,17,12,male
10,17,9,14,19,14,15,9,14,14,13,15,20,16,18,15,12,14,16,15,13,22,15,17,17,14,17,44,18,15,12,17,12,male
9,16,11,13,17,14,15,11,14,15,14,16,18,16,15,15,14,14,16,15,14,20,15,19,15,15,15,45,16,14,13,16,13,male
9,15,8,11,17,14,14,11,15,14,14,15,20,17,17,15,13,15,19,16,17,21,16,20,19,15,15,43,16,12,11,16,13,male
10,14,8,12,19,15,15,11,13,13,14,18,20,18,16,16,16,14,18,17,16,21,16,19,17,14,15,43,17,13,12,15,13,male
8,15,12,11,17,11,14,14,16,13,14,13,18,15,14,15,17,16,18,14,14,22,15,17,17,16,16,44,16,13,12,16,13,male
9,16,11,12,16,12,14,11,15,14,14,15,18,17,15,15,15,15,17,17,13,22,15,17,17,16,17,44,16,14,12,16,12,male
8,14,12,12,17,12,13,15,15,16,14,14,17,15,15,14,16,15,18,14,15,22,15,16,17,17,17,44,16,15,13,15,13,male
9,16,10,12,16,12,15,12,16,14,13,15,19,16,16,15,14,16,18,16,14,21,15,19,17,16,16,44,16,13,12,16,13,male
9,16,11,13,17,13,15,11,15,15,14,16,19,17,16,15,14,15,17,16,13,20,15,18,16,15,15,44,16,14,12,16,13,male
9,17,10,12,18,13,15,12,15,15,14,15,20,16,17,14,14,14,17,15,14,21,15,18,16,14,16,44,17,14,12,17,13,male
10,15,9,14,18,14,14,10,13,15,14,17,19,18,16,15,14,15,17,16,14,19,17,20,15,13,14,44,16,14,13,16,13,male
13,16,9,8,16,10,13,16,16,16,11,17,17,17,13,15,17,16,20,17,15,24,15,16,17,15,16,43,16,14,12,16,14,male
12,18,7,7,18,11,16,17,15,16,13,14,18,16,14,14,16,15,20,15,17,25,15,17,17,15,16,43,17,13,12,17,14,male
12,16,7,7,16,11,13,17,16,16,14,15,18,17,14,15,17,16,20,17,17,24,15,16,17,16,16,43,16,13,12,15,14,male
13,16,10,7,17,11,13,16,17,16,12,14,18,17,13,14,17,16,20,18,14,24,15,16,17,16,16,42,16,14,13,15,14,male
12,14,7,7,13,13,11,17,17,17,14,16,18,16,17,14,16,18,19,17,17,25,15,16,17,17,16,42,16,13,13,13,14,male
11,16,7,7,15,13,13,18,16,17,16,14,17,16,14,14,17,17,19,16,19,25,15,17,17,16,16,42,17,12,12,15,14,male
11,13,8,7,16,13,14,18,15,16,15,15,18,15,15,16,17,16,17,16,18,24,17,16,18,16,15,42,14,13,12,16,15,male
11,20,7,7,15,14,15,15,16,17,16,15,19,17,16,15,17,15,19,17,19,25,13,16,17,15,16,42,19,13,12,15,15,male
12,19,8,7,17,13,13,14,16,16,14,13,18,17,16,14,17,16,19,17,17,25,13,16,18,16,17,43,19,14,12,15,14,male
13,13,8,7,16,12,11,18,17,17,14,16,17,17,17,15,17,17,19,18,16,25,15,16,17,16,16,42,16,14,12,15,13,male
12,15,9,7,16,12,12,17,17,16,13,14,18,17,14,14,17,16,20,17,15,24,15,16,17,16,16,43,17,14,12,15,13,male
12,16,9,7,18,11,13,17,17,17,13,14,18,16,14,13,17,16,20,16,15,25,15,16,17,15,16,42,17,14,12,16,13,male
13,16,10,7,16,11,12,16,16,16,14,14,17,17,13,14,17,16,19,17,14,24,15,16,17,16,16,43,16,14,12,15,13,male
11,16,7,7,16,13,13,19,16,18,17,14,18,16,14,14,17,17,19,16,18,25,15,17,17,16,16,42,16,12,12,15,14,male
11,13,8,7,16,13,14,18,15,16,15,15,19,16,14,16,17,16,18,15,17,24,17,16,18,16,15,43,14,13,12,16,14,male
15,16,6,7,18,8,16,15,15,13,15,15,19,15,14,16,16,16,19,15,15,23,16,18,19,15,17,42,16,13,12,16,14,male
17,13,7,6,16,8,16,14,16,15,14,16,18,16,13,15,17,16,20,16,13,23,16,18,17,16,16,42,15,13,13,16,14,male
16,11,7,7,15,9,17,14,16,13,14,17,18,16,12,16,17,16,18,17,13,23,17,18,19,16,17,41,15,14,12,15,14,male
14,9,6,7,17,11,15,14,17,13,16,15,21,16,15,15,17,15,19,15,16,24,17,17,19,16,16,40,14,14,12,15,15,male
16,14,7,6,16,7,17,14,16,14,14,16,18,16,13,16,17,16,20,16,13,22,16,19,18,15,17,43,16,13,12,16,13,male
10,16,7,10,15,9,15,15,16,15,16,15,18,17,16,15,16,15,19,17,14,22,16,18,19,16,18,45,16,11,12,16,12,male
10,15,7,10,14,10,17,16,16,15,17,16,19,17,15,16,16,15,16,18,15,21,16,19,19,17,17,45,15,11,11,14,13,male
9,18,7,11,16,11,14,16,15,16,17,15,20,16,16,15,16,16,17,16,16,22,14,19,19,15,17,44,17,11,12,16,13,male
10,16,8,10,16,10,16,16,15,15,16,16,19,17,15,15,17,15,19,16,14,20,15,19,18,15,18,45,16,11,13,16,13,male
10,16,7,10,16,10,15,15,16,15,16,15,19,17,15,15,16,15,18,17,15,21,15,19,19,15,18,45,16,11,12,16,12,male
10,13,8,9,16,9,15,16,15,16,16,15,18,15,15,16,17,16,19,16,15,21,17,19,19,15,18,44,14,11,12,16,12,male
10,16,7,9,15,9,15,15,15,16,16,16,19,17,15,15,17,15,18,16,15,20,16,19,19,16,18,45,16,11,12,15,13,male
10,14,7,10,15,10,17,16,16,15,16,17,19,18,16,16,15,15,17,17,15,20,16,19,19,16,17,45,15,11,12,15,13,male
10,16,8,10,16,10,16,16,15,16,16,16,19,17,15,15,17,15,19,17,14,19,16,19,18,15,18,45,16,11,13,16,13,male
10,17,7,10,16,9,15,15,15,15,15,15,19,16,16,15,16,15,18,16,15,20,15,19,19,15,18,45,17,11,12,16,12,male
16,15,9,9,11,8,19,14,16,11,14,20,19,16,12,17,17,17,19,17,13,26,15,17,18,15,17,42,16,14,13,15,13,female
18,12,9,8,17,7,15,11,15,13,12,16,16,16,13,14,17,16,20,14,10,24,16,18,18,16,17,44,15,13,13,15,12,female
18,12,10,9,16,7,16,12,14,14,12,16,17,17,12,14,17,15,20,15,9,23,17,18,17,16,17,44,14,13,13,15,13,female
16,24,8,11,18,7,16,12,15,16,14,13,19,10,13,14,15,14,17,14,11,25,15,17,17,14,18,43,18,13,13,17,12,female
20,12,11,10,18,6,16,11,17,16,13,15,15,14,12,16,17,17,18,15,11,24,17,17,17,15,17,44,15,14,14,16,12,female
16,15,10,9,17,6,16,13,16,14,12,13,19,13,12,16,18,16,20,15,11,25,16,17,17,15,17,43,15,14,13,16,12,female
15,13,8,8,22,10,14,13,17,13,14,12,21,12,13,15,15,15,17,10,14,25,17,17,17,15,16,42,15,13,13,17,13,female
17,13,8,8,16,6,16,15,17,15,13,13,19,14,12,15,19,17,21,16,13,24,16,17,17,16,17,43,15,13,13,16,12,female
19,22,6,11,15,7,18,14,16,16,13,13,22,11,13,16,17,16,19,16,14,24,15,18,17,13,18,43,18,13,14,18,13,female
18,14,7,8,17,7,16,14,17,14,13,14,18,15,12,16,18,17,21,16,11,23,16,18,17,15,17,45,15,13,13,16,12,female
15,17,5,10,17,8,16,14,15,14,17,12,23,13,14,17,17,17,19,15,18,25,16,18,18,15,18,43,16,12,13,17,12,female
15,16,8,10,16,5,17,13,17,13,14,13,20,12,13,16,18,17,19,16,11,25,16,17,17,15,18,42,15,14,13,16,12,female
15,15,7,8,14,6,18,15,18,14,14,15,20,15,12,16,17,17,21,17,14,25,16,17,18,15,17,42,16,13,13,16,12,female
18,12,9,9,16,6,17,12,17,14,13,14,17,13,12,15,18,16,19,15,9,25,16,17,17,15,18,43,15,14,13,15,12,female
19,13,10,8,18,7,16,13,16,15,11,15,16,15,12,16,17,16,21,15,12,25,17,17,16,15,17,44,15,14,14,17,13,female
16,12,10,12,16,12,15,21,15,20,17,15,18,16,13,16,18,15,16,16,15,27,15,16,16,16,16,46,16,14,14,15,14,male
15,16,8,8,15,8,16,18,14,16,16,15,17,17,14,16,17,16,19,16,15,22,16,17,16,16,16,46,15,13,13,15,13,male
19,11,10,7,16,11,16,19,15,18,16,15,16,15,13,16,18,16,19,15,14,27,15,16,15,15,16,47,16,14,13,16,13,male
15,16,10,9,16,9,15,18,14,16,16,15,17,17,14,15,17,15,19,15,14,21,16,17,16,16,16,47,16,13,13,16,14,male
15,19,10,12,14,13,14,17,15,18,16,15,20,15,15,14,16,14,17,19,16,27,16,16,16,16,16,47,17,14,13,15,14,male
15,11,9,11,16,12,16,19,14,19,18,14,16,16,13,16,19,16,16,15,14,27,15,15,16,16,16,46,16,14,13,15,13,male
15,18,9,8,15,10,15,17,14,15,15,14,16,16,13,15,17,15,19,15,15,21,16,17,16,16,16,47,16,13,13,15,13,male
14,15,10,10,17,9,14,19,15,15,15,14,17,17,14,14,17,17,19,14,16,22,16,16,16,15,16,46,16,13,13,16,13,male
14,16,11,10,17,9,14,18,14,14,14,14,15,17,14,16,17,16,19,15,15,23,16,16,16,15,16,47,15,13,12,16,13,male
15,16,11,10,17,8,14,18,15,14,15,14,16,17,14,15,17,16,19,15,14,22,16,16,16,15,16,47,15,13,13,16,13,male
16,16,10,8,16,9,15,17,15,15,15,15,16,17,13,16,17,16,19,15,14,22,16,16,16,15,16,47,15,13,13,16,13,male
16,17,9,9,13,8,16,16,14,14,14,15,16,16,14,15,17,15,18,16,14,22,16,16,16,16,16,46,15,13,13,15,13,male
17,16,11,9,16,9,15,16,15,16,13,16,15,17,14,16,17,16,19,15,14,21,16,17,15,16,16,47,15,13,14,16,13,male
14,17,8,10,15,9,15,18,14,15,16,14,17,17,14,15,17,16,18,15,16,22,16,16,16,16,16,45,15,13,13,16,13,male
15,17,9,8,16,9,15,18,14,16,16,14,17,17,14,15,17,16,18,15,15,21,16,17,16,15,16,46,16,13,13,16,13,male
14,14,9,8,20,8,12,15,14,15,13,14,18,19,14,14,16,15,20,17,16,22,15,16,17,15,18,45,16,13,13,16,12,male
14,14,9,9,20,9,12,14,13,15,13,16,19,19,14,14,16,14,19,16,15,22,15,16,17,15,17,45,17,14,13,16,12,male
13,16,7,9,16,9,12,15,15,16,14,15,19,17,16,14,15,15,19,16,17,20,18,18,16,14,15,45,16,13,13,16,13,male
