@relation 'ORL-weka.filters.unsupervised.instance.imagefilter.ColorLayoutFilter-DE:\\Documents\\Information Technology\\Data Mining\\Face Recognition\\Databases\\ORL-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V'

@attribute 'MPEG-7 Color Layout0' numeric
@attribute 'MPEG-7 Color Layout1' numeric
@attribute 'MPEG-7 Color Layout2' numeric
@attribute 'MPEG-7 Color Layout3' numeric
@attribute 'MPEG-7 Color Layout4' numeric
@attribute 'MPEG-7 Color Layout5' numeric
@attribute 'MPEG-7 Color Layout6' numeric
@attribute 'MPEG-7 Color Layout7' numeric
@attribute 'MPEG-7 Color Layout8' numeric
@attribute 'MPEG-7 Color Layout9' numeric
@attribute 'MPEG-7 Color Layout10' numeric
@attribute 'MPEG-7 Color Layout11' numeric
@attribute 'MPEG-7 Color Layout12' numeric
@attribute 'MPEG-7 Color Layout13' numeric
@attribute 'MPEG-7 Color Layout14' numeric
@attribute 'MPEG-7 Color Layout15' numeric
@attribute 'MPEG-7 Color Layout16' numeric
@attribute 'MPEG-7 Color Layout17' numeric
@attribute 'MPEG-7 Color Layout18' numeric
@attribute 'MPEG-7 Color Layout19' numeric
@attribute 'MPEG-7 Color Layout20' numeric
@attribute 'MPEG-7 Color Layout21' numeric
@attribute 'MPEG-7 Color Layout22' numeric
@attribute 'MPEG-7 Color Layout23' numeric
@attribute 'MPEG-7 Color Layout24' numeric
@attribute 'MPEG-7 Color Layout25' numeric
@attribute 'MPEG-7 Color Layout26' numeric
@attribute 'MPEG-7 Color Layout27' numeric
@attribute 'MPEG-7 Color Layout28' numeric
@attribute 'MPEG-7 Color Layout29' numeric
@attribute 'MPEG-7 Color Layout30' numeric
@attribute 'MPEG-7 Color Layout31' numeric
@attribute 'MPEG-7 Color Layout32' numeric
@attribute class {male,female}

@data
30,18,12,8,15,5,15,17,15,14,14,15,12,16,10,15,18,15,18,15,12,32,16,16,16,16,16,32,16,16,16,16,16,male
38,22,15,13,10,8,19,14,17,17,14,15,12,15,11,16,16,15,15,16,14,32,16,16,16,16,16,32,16,16,16,16,16,male
32,20,18,10,16,4,15,17,16,14,15,16,11,16,10,14,18,14,14,16,14,32,16,16,16,16,16,32,16,16,16,16,16,male
36,9,18,11,23,6,16,13,16,18,14,15,12,15,12,16,14,16,15,14,14,32,16,16,16,16,16,32,16,16,16,16,16,male
36,13,20,11,16,6,17,13,16,18,14,16,12,15,10,17,15,18,15,17,14,32,16,16,16,16,16,32,16,16,16,16,16,male
37,16,13,11,23,8,15,13,15,16,14,15,12,18,12,15,16,13,15,13,14,32,16,16,16,16,16,32,16,16,16,16,16,male
33,17,13,10,17,5,16,14,15,18,13,15,10,15,10,16,18,15,18,14,13,32,16,16,16,16,16,32,16,16,16,16,16,male
30,10,19,9,18,4,18,13,16,17,15,16,11,13,10,16,16,17,15,15,13,32,16,16,16,16,16,32,16,16,16,16,16,male
33,9,17,9,17,4,17,12,15,21,16,16,10,14,9,17,15,18,17,16,14,32,16,16,16,16,16,32,16,16,16,16,16,male
32,10,18,8,13,5,16,15,16,14,12,16,13,13,10,16,16,17,17,17,13,32,16,16,16,16,16,32,16,16,16,16,16,male
23,17,16,7,18,7,14,16,14,12,12,16,12,15,11,17,17,15,15,14,14,32,16,16,16,16,16,32,16,16,16,16,16,male
23,20,15,7,14,6,14,16,15,13,12,16,11,16,11,16,18,15,15,15,14,32,16,16,16,16,16,32,16,16,16,16,16,male
23,19,17,7,16,6,14,16,15,13,12,16,12,15,11,16,18,15,15,15,13,32,16,16,16,16,16,32,16,16,16,16,16,male
22,20,16,7,14,7,14,16,15,13,13,16,11,16,11,15,18,15,15,16,14,32,16,16,16,16,16,32,16,16,16,16,16,male
24,19,15,7,16,7,14,16,15,14,13,16,10,15,11,16,18,14,16,15,14,32,16,16,16,16,16,32,16,16,16,16,16,male
23,21,14,6,13,7,14,16,15,12,12,16,11,16,11,15,18,15,16,15,14,32,16,16,16,16,16,32,16,16,16,16,16,male
24,18,19,9,17,7,13,15,15,11,13,16,12,16,11,16,17,14,14,15,13,32,16,16,16,16,16,32,16,16,16,16,16,male
23,18,18,8,16,7,14,15,15,12,12,16,11,16,11,16,18,15,15,15,13,32,16,16,16,16,16,32,16,16,16,16,16,male
23,23,16,8,12,7,15,15,15,12,14,15,12,16,11,14,18,15,14,16,14,32,16,16,16,16,16,32,16,16,16,16,16,male
25,19,18,8,16,7,14,16,15,12,12,16,11,15,11,15,18,14,15,14,13,32,16,16,16,16,16,32,16,16,16,16,16,male
23,18,18,9,14,7,14,15,15,15,14,15,18,16,13,14,15,15,20,18,14,32,16,16,16,16,16,32,16,16,16,16,16,male
24,15,17,9,14,7,14,15,16,15,15,16,19,16,13,15,15,16,19,18,14,32,16,16,16,16,16,32,16,16,16,16,16,male
24,15,17,10,15,7,15,15,16,16,13,16,19,16,13,15,15,16,20,17,13,32,16,16,16,16,16,32,16,16,16,16,16,male
24,21,19,10,15,7,15,13,14,15,13,16,17,15,13,14,15,14,20,17,12,32,16,16,16,16,16,32,16,16,16,16,16,male
25,22,19,11,17,7,15,13,14,15,13,14,17,15,14,13,15,13,20,16,11,32,16,16,16,16,16,32,16,16,16,16,16,male
27,18,15,7,14,7,15,16,15,15,13,15,19,16,13,15,16,14,21,18,15,32,16,16,16,16,16,32,16,16,16,16,16,male
25,19,16,8,15,6,14,16,14,15,13,15,19,16,14,14,16,14,21,17,14,32,16,16,16,16,16,32,16,16,16,16,16,male
26,18,16,8,16,6,15,16,14,15,13,15,19,16,14,14,15,15,22,17,14,32,16,16,16,16,16,32,16,16,16,16,16,male
26,14,16,8,15,6,15,16,15,16,13,15,19,16,13,16,15,16,21,17,13,32,16,16,16,16,16,32,16,16,16,16,16,male
26,14,17,8,15,6,15,15,15,15,13,15,19,16,14,16,15,16,20,17,12,32,16,16,16,16,16,32,16,16,16,16,16,male
24,20,15,8,14,9,16,15,15,14,13,15,18,14,13,15,16,15,21,15,13,32,16,16,16,16,16,32,16,16,16,16,16,male
24,18,15,8,13,8,16,14,15,14,12,17,17,15,14,17,16,16,20,17,13,32,16,16,16,16,16,32,16,16,16,16,16,male
24,20,16,8,14,9,17,15,15,14,12,14,18,14,14,15,16,14,21,14,12,32,16,16,16,16,16,32,16,16,16,16,16,male
28,15,14,7,15,7,15,15,15,15,14,16,18,15,13,16,17,16,21,17,13,32,16,16,16,16,16,32,16,16,16,16,16,male
28,14,13,6,15,7,15,15,15,15,13,17,17,16,14,17,16,17,20,18,13,32,16,16,16,16,16,32,16,16,16,16,16,male
29,18,14,7,17,7,16,15,16,14,12,15,17,15,13,15,15,14,19,14,11,32,16,16,16,16,16,32,16,16,16,16,16,male
27,16,15,7,16,7,16,15,15,14,14,16,18,16,14,16,17,15,20,16,13,32,16,16,16,16,16,32,16,16,16,16,16,male
25,19,16,8,15,9,17,14,15,14,12,15,17,14,13,16,16,15,21,15,12,32,16,16,16,16,16,32,16,16,16,16,16,male
24,18,15,8,13,9,16,15,15,14,13,16,17,15,14,17,17,16,21,17,13,32,16,16,16,16,16,32,16,16,16,16,16,male
27,14,12,6,14,7,15,15,15,15,14,17,18,15,15,16,16,16,19,19,14,32,16,16,16,16,16,32,16,16,16,16,16,male
29,24,20,12,14,11,15,16,14,14,14,13,17,15,14,14,16,15,18,14,15,32,16,16,16,16,16,32,16,16,16,16,16,male
